	Review	Liked
1	Won't go back.	0
2	-Drinks took close to 30 minutes to come out at one point.	0
3	The service was meh.	0
4	We got the food and apparently they have never heard of salt and the batter on the fish was chewy.	0
5	I've never been treated so bad.	0
6	Coming here is like experiencing an underwhelming relationship where both parties can't wait for the other person to ask to break up.	0
7	Hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn't want to eat it for fear of getting sick.	0
8	"It was extremely ""crumby"" and pretty tasteless."	0
9	"The service was terrible, food was mediocre."	0
10	Mediocre food.	0
11	The scallop dish is quite appalling for value as well.	0
12	I was shocked because no signs indicate cash only.	0
13	Overall I wasn't very impressed with Noca.	0
14	We literally sat there for 20 minutes with no one asking to take our order.	0
15	But I definitely would not eat here again.	0
16	Not a single employee came out to see if we were OK or even needed a water refill once they finally served us our food.	0
17	very slow at seating even with reservation.	0
18	"I find wasting food to be despicable, but this just wasn't food."	0
19	The problem I have is that they charge $11.99 for a sandwich that is no bigger than a Subway sub (which offers better and more amount of vegetables).	0
20	A lady at the table next to us found a live green caterpillar In her salad.	0
21	Service sucks.	0
22	"It was a bit too sweet, not really spicy enough, and lacked flavor."	0
23	I seriously cannot believe that the owner has so many unexperienced employees that all are running around like chickens with their heads cut off.	0
24	Won't ever go here again.	0
25	"By this point, my friends and I had basically figured out this place was a joke and didn't mind making it publicly and loudly known."	0
26	Eew... This location needs a complete overhaul.	0
27	The selection of food was not the best.	0
28	I was mortified.	0
29	After all the rave reviews I couldn't wait to eat here......what a disappointment!	0
30	"For a self proclaimed coffee cafe, I was wildly disappointed."	0
31	Please stay away from the shrimp stir fried noodles.	0
32	Do yourself a favor and stay away from this dish.	0
33	We could not believe how dirty the oysters were!	0
34	It's NOT hard to make a decent hamburger.	0
35	Terrible management.	0
36	"The food is about on par with Denny's, which is to say, not good at all."	0
37	We sat another ten minutes and finally gave up and left.	0
38	"Ordered a double cheeseburger & got a single patty that was falling apart (picture uploaded) Yeah, still sucks."	0
39	"Insults, profound deuchebaggery, and had to go outside for a smoke break while serving just to solidify it."	0
40	Not much seafood and like 5 strings of pasta at the bottom.	0
41	The manager was the worst.	0
42	first time there and might just be the last.	0
43	"This is was due to the fact that it took 20 minutes to be acknowledged, then another 35 minutes to get our food...and they kept forgetting things."	0
44	"the food is not tasty at all, not to say its ""real traditional Hunan style""."	0
45	"To my disbelief, each dish qualified as the worst version of these foods I have ever tasted."	0
46	But then they came back cold.	0
47	After the disappointing dinner we went elsewhere for dessert.	0
48	"REAL sushi lovers, let's be honest - Yama is not that good."	0
49	The warm beer didn't help.	0
50	"Friend's pasta -- also bad, he barely touched it."	0
51	Don't bother coming here.	0
52	dont go here.	0
53	Just don't know why they were so slow.	0
54	Probably not in a hurry to go back.	0
55	"For about 10 minutes, we we're waiting for her salad when we realized that it wasn't coming any time soon."	0
56	My salad had a bland vinegrette on the baby greens and hearts of Palm.	0
57	The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.	0
58	Left very frustrated.	0
59	Overall I wasn't very impressed with Noca.	0
60	My husband and I ate lunch here and were very disappointed with the food and service.	0
61	"I mean really, how do you get so famous for your fish and chips when it's so terrible!?!"	0
62	First - the bathrooms at this location were dirty- Seat covers were not replenished & just plain yucky!!!	0
63	"The service was not up to par, either."	0
64	I don't have to be an accountant to know I'm getting screwed!	0
65	"It was a bit too sweet, not really spicy enough, and lacked flavor."	0
66	I think food should have flavor and texture and both were lacking.	0
67	"I do love sushi, but I found Kabuki to be over-priced, over-hip and under-services."	0
68	Appetite instantly gone.	0
69	I checked out this place a couple years ago and was not impressed.	0
70	"It was attached to a gas station, and that is rarely a good sign."	0
71	Food was below average.	0
72	I've never been treated so bad.	0
73	The scallop dish is quite appalling for value as well.	0
74	The Burrittos Blah!	0
75	"Needless to say, we will never be back here again."	0
76	I'm super pissd.	0
77	"No allergy warnings on the menu, and the waitress had absolutely no clue as to which meals did or did not contain peanuts."	0
78	We waited for forty five minutes in vain.	0
79	"The burger had absolutely no flavor - the meat itself was totally bland, the burger was overcooked and there was no charcoal flavor."	0
80	I can't tell you how disappointed I was.	0
81	I don't think we'll be going back anytime soon.	0
82	"For about 10 minutes, we we're waiting for her salad when we realized that it wasn't coming any time soon."	0
83	The desserts were a bit strange.	0
84	My friend did not like his Bloody Mary.	0
85	I left with a stomach ache and felt sick the rest of the day.	0
86	"Then, as if I hadn't wasted enough of my life there, they poured salt in the wound by drawing out the time it took to bring the check."	0
87	I got home to see the driest damn wings ever!	0
88	I give it 2 thumbs down	0
89	"I'd rather eat airline food, seriously."	0
90	I work in the hospitality industry in Paradise Valley and have refrained from recommending Cibo any longer.	0
91	"It was either too cold, not enough flavor or just bad."	0
92	We watched our waiter pay a lot more attention to other tables and ignore us.	0
93	this is the worst sushi i have ever eat besides Costco's.	0
94	A FLY was in my apple juice.. A FLY!!!!!!!!	0
95	She ordered a toasted English muffin that came out untoasted.	0
96	Soggy and not good.	0
97	"I live in the neighborhood so I am disappointed I won't be back here, because it is a convenient location."	0
98	"We got sitting fairly fast, but, ended up waiting 40 minutes just to place our order, another 30 minutes before the food arrived."	0
99	"The chains, which I'm no fan of, beat this place easily."	0
100	"Strike 2, who wants to be rushed."	0
101	Overpriced for what you are getting.	0
102	"He was extremely rude and really, there are so many other restaurants I would love to dine at during a weekend in Vegas."	0
103	Service sucks.	0
104	Waited and waited and waited.	0
105	What a mistake.	0
106	They brought a fresh batch of fries and I was thinking yay something warm but no!	0
107	"Main thing I didn't enjoy is that the crowd is of older crowd, around mid 30s and up."	0
108	"Unfortunately, it only set us up for disapppointment with our entrees."	0
109	Boy was that sucker dry!!.	0
110	"Never been to Hard Rock Casino before, WILL NEVER EVER STEP FORWARD IN IT AGAIN!"	0
111	Overall I was not impressed and would not go back.	0
112	I am far from a sushi connoisseur but I can definitely tell the difference between good food and bad food and this was certainly bad food.	0
113	I was VERY disappointed!!	0
114	"The meat was pretty dry, I had the sliced brisket and pulled pork."	0
115	When my mom and I got home she immediately got sick and she only had a few bites of salad.	0
116	I give it 2 thumbs down	0
117	"I live in the neighborhood so I am disappointed I won't be back here, because it is a convenient location."	0
118	Now I am getting angry and I want my damn pho.	0
119	After the disappointing dinner we went elsewhere for dessert.	0
120	I've never been more insulted or felt disrespected.	0
121	"Needless to say, I won't be going back anytime soon."	0
122	"The food sucked, which we expected but it sucked more than we could have imagined."	0
123	My fella got the huevos rancheros and they didn't look too appealing.	0
124	I hate those things as much as cheap quality black olives.	0
125	The potato chip order was sad... I could probably count how many chips were in that box and it was probably around 12.	0
126	The food was terrible.	0
127	The server was very negligent of our needs and made us feel very unwelcome... I would not suggest this place!	0
128	Google mediocre and I imagine Smashburger will pop up.	0
129	We waited for thirty minutes to be seated (although there were 8 vacant tables and we were the only folks waiting).	0
130	RUDE & INCONSIDERATE MANAGEMENT.	0
131	It sure does beat the nachos at the movies but I would expect a little bit more coming from a restaurant.	0
132	It was way over fried.	0
133	The service was a bit lacking.	0
134	"Overall, I was very disappointed with the quality of food at Bouchon."	0
135	Over rated.	0
136	Probably not in a hurry to go back.	0
137	"Perhaps I caught them on an off night judging by the other reviews, but I'm not inspired to go back."	0
138	"Overall, I don't think that I would take my parents to this place again because they made most of the similar complaints that I silently felt too."	0
139	I dressed up to be treated so rudely!	0
140	"Anyways, The food was definitely not filling at all, and for the price you pay you should expect more."	0
141	Eew... This location needs a complete overhaul.	0
142	Won't go back.	0
143	The chicken wings contained the driest chicken meat I have ever eaten.	0
144	We won't be going back anytime soon!	0
145	the spaghetti is nothing special whatsoever.	0
146	"However, my recent experience at this particular location was not so good."	0
147	"I don't know what the big deal is about this place, but I won't be back ""ya'all""."	0
148	It's too bad the food is so damn generic.	0
149	I will not be eating there again.	0
150	Overall I wasn't very impressed with Noca.	0
151	Con: spotty service.	0
152	It was equally awful.	0
153	I dressed up to be treated so rudely!	0
154	This place deserves no stars.	0
155	I was so insulted.	0
156	Best of luck to the rude and non-customer service focused new management.	0
157	The poor batter to meat ratio made the chicken tenders very unsatisfying.	0
158	The management is rude.	0
159	She was quite disappointed although some blame needs to be placed at her door.	0
160	"The building itself seems pretty neat, the bathroom is pretty trippy, but I wouldn't eat here again."	0
161	I dressed up to be treated so rudely!	0
162	"We got sitting fairly fast, but, ended up waiting 40 minutes just to place our order, another 30 minutes before the food arrived."	0
163	Del Taco is pretty nasty and should be avoided if possible.	0
164	"I find wasting food to be despicable, but this just wasn't food."	0
165	I also decided not to send it back because our waitress looked like she was on the verge of having a heart attack.	0
166	"Your servers suck, wait, correction, our server Heimer sucked."	0
167	Terrible management.	0
168	"(It wasn't busy either) Also, the building was FREEZING cold."	0
169	Not tasty and the texture was just nasty.	0
170	I wasn't really impressed with Strip Steak.	0
171	I was so insulted.	0
172	It wasn't busy at all and now we know why.	0
173	Waited and waited and waited.	0
174	Food quality has been horrible.	0
175	#NAME?	0
176	What a mistake that was!	0
177	Ordered an appetizer and took 40 minutes and then the pizza another 10 minutes.	0
