Incident Type,Location,Borough,Creation Date,Closed Date,Latitude,Longitude
Utility-Water Main,136-17 72 Avenue,Queens,01/16/2017 01:13:38 PM,,40.71400364095638,-73.82998933154158
Structural-Sidewalk Collapse,927 Broadway,Manhattan,10/29/2016 12:13:31 PM,,40.71442154062271,-74.00607638041981
Utility-Other,,Manhattan,11/22/2016 08:53:17 AM,,,
Administration-Other,Seagirt Blvd & Beach 9 Street,Queens,11/14/2016 03:53:54 PM,,40.71400364095638,-73.82998933154158
Law Enforcement-Other,,Brooklyn,10/29/2016 05:35:28 PM,,,
Utility-Water Main,2-17 54 Avenue,Queens,12/02/2016 04:40:13 PM,,40.71400364095638,-73.82998933154158
Fire-2nd Alarm,238 East 24 Street,Manhattan,11/25/2016 04:06:09 AM,,40.71442154062271,-74.00607638041981
Utility-Water Main,7th Avenue & West 27 Street,Manhattan,12/03/2016 04:17:30 AM,,40.71442154062271,-74.00607638041981
Fire-10-76 (Commercial High Rise Fire),130 East 57 Street,Manhattan,11/26/2016 05:45:43 AM,,,
Structural-Crane,,Brooklyn,11/18/2016 01:12:51 PM,,,
Fire-2nd Alarm,24 Charles Street,Manhattan,12/14/2016 10:26:17 PM,,40.71442154062271,-74.00607638041981
Fire-3rd Alarm,581 3 ave,new york,11/30/2016 12:25:38 AM,11/30/2016 04:22:22 AM,40.66748970288859,-73.99428600039778
Structural-Collapse,55 Thompson St,Manhattan,11/28/2016 09:51:55 PM,,40.71442154062271,-74.00607638041981
Utility-Other,Hylan Blvd & Arbutus Avenue,Staten Island,11/29/2016 06:49:45 AM,,40.52609318085672,-74.18029750962154
Fire-2nd Alarm,53-09 Beach Channel Drive,Far Rockaway,12/18/2016 05:52:37 PM,,40.59508344584543,-73.78400535855963
Fire-1st Alarm,151 West 100 Street,Manhattan,12/23/2016 01:36:49 PM,,40.71442154062271,-74.00607638041981
Fire-2nd Alarm,1747 West 6 Street,Brooklyn,12/15/2016 05:05:32 PM,,40.604676759625875,-73.97901517750762
Structural-Crane,,Brooklyn,12/08/2016 09:38:34 PM,,,
Structural-Crane,225 Park Avenue South,Manhattan,12/09/2016 12:20:14 PM,,40.71442154062271,-74.00607638041981
Utility-Gas Low Pressure,Noble Avenue & Watson Avenue,Bronx,01/30/2017 09:47:09 PM,,40.82730091310776,-73.86917897682753
Structural-Crane,,Brooklyn,11/18/2016 01:12:51 PM,,,
Fire-2nd Alarm,,Brooklyn,12/16/2016 04:45:58 AM,,,
Structural-Crane,229 Cherry Street,Manhattan,11/30/2016 04:29:12 PM,,40.71442154062271,-74.00607638041981
Administration-Meeting,720 Hunts Point Avenue,Bronx,12/14/2016 02:50:25 PM,,40.81509289332348,-73.88636923265318
Utility-Water Main,Watson Avenue  & Colgate Avenue,Bronx,12/17/2016 11:32:26 PM,,40.825653541278996,-73.88134827090516
Fire-1st Alarm,126 West 53rd Street,Manhattan,12/25/2016 10:42:56 PM,,40.71442154062271,-74.00607638041981
Fire-1st Alarm,151 West 100 Street,Manhattan,12/23/2016 01:36:49 PM,,40.71442154062271,-74.00607638041981
Fire-2nd Alarm,112 Taylor STreet,Staten Island,12/16/2016 04:45:58 AM,,40.63617530834489,-74.12338634300454
Transportation-Car,Cross Bronx Expressway & Webster Avenue,Bronx,12/27/2016 06:21:42 AM,,40.84442117829582,-73.90277738766548
Administration-Planned Event,1227 Tinton Avenue,Bronx,06/01/2016 02:29:27 PM,,40.83008667276402,-73.9000468719392
Transportation-Other,,Queens,01/19/2017 04:08:25 AM,,40.74419565512141,-73.77154423626095
Fire-2nd Alarm,155-26 115 Avenue,Queens,12/17/2016 09:04:03 AM,,,
Structural-Street Collapse,Madison Avenue & East 56 Street,Manhattan,01/26/2017 04:52:25 PM,,,
Utility-Power Outage,107-10 Shore Front Parkway,Queens,01/21/2017 08:59:38 AM,,40.71400364095638,-73.82998933154158
Utility-Gas Low Pressure,Noble Avenue & Watson Avenue,Bronx,01/30/2017 09:47:09 PM,,40.82730091310776,-73.86917897682753
Utility-Gas Low Pressure,Noble Avenue & Watson Avenue,Bronx,01/30/2017 09:47:09 PM,,40.82730091310776,-73.86917897682753
Structural-Crane,,Brooklyn,11/18/2016 01:12:51 PM,,,
Utility-Power Outage,107-10 Shore Front Parkway,Queens,01/21/2017 08:59:38 AM,,40.71400364095638,-73.82998933154158
Utility-Water Service Line,West 167th Street & Edgecombe Avenue,Manhattan,01/23/2017 03:54:00 AM,,40.71442154062271,-74.00607638041981
Utility-Other,,Manhattan,11/22/2016 08:53:17 AM,11/23/2016 10:36:31 AM,,
Fire-1st Alarm,150-05 Cohancy Street,Queens,11/20/2016 01:03:30 PM,,40.71400364095638,-73.82998933154158
Rescue-Technical,81-10 134 Street,Queens,11/22/2016 12:24:02 PM,11/22/2016 06:27:30 PM,40.71400364095638,-73.82998933154158
Structural-Crane,,Brooklyn,12/03/2016 03:23:53 PM,12/03/2016 06:57:14 PM,,
HazMat-Other,2001 Oriental Blvd,Brooklyn,01/10/2017 11:51:42 AM,01/24/2017 05:48:17 PM,40.57851511797941,-73.93486608050438
Fire-3rd Alarm,35 Winthrop Street,Brooklyn,01/24/2017 08:13:07 PM,01/25/2017 02:02:01 AM,40.65656748700104,-73.95897265975964
Utility-Power Outage,107-10 Shore Front Parkway,Queens,01/21/2017 08:59:38 AM,,40.71400364095638,-73.82998933154158
Fire-4th Alarm,135-42 Roosevelt Avenue,Queens,01/25/2017 02:20:02 PM,01/26/2017 06:20:25 PM,40.71400364095638,-73.82998933154158
Fire-4th Alarm,135-42 Roosevelt Avenue,Queens,01/25/2017 02:20:02 PM,,40.71400364095638,-73.82998933154158
Utility-Water Main,West 81st Street & Central Park West,Manhattan,01/14/2017 12:15:09 AM,,40.71442154062271,-74.00607638041981
Fire-2nd Alarm,2350 Beaumont Avenue,Bronx,01/16/2017 06:24:46 AM,,40.853695370346145,-73.88465007064343
Fire-1st Alarm,151 West 100 Street,Manhattan,12/23/2016 01:36:49 PM,,40.71442154062271,-74.00607638041981
Structural-Sidewalk Shed,155 Hudson Street,Manhattan,11/29/2016 09:39:16 AM,11/29/2016 11:07:38 AM,40.71442154062271,-74.00607638041981
Fire-2nd Alarm,1604 Prospect Place,Brooklyn,11/29/2016 06:41:52 PM,11/29/2016 08:42:28 PM,40.672841532411894,-73.92334742074604
Utility-Water Main,136-17 72 Avenue,Queens,01/16/2017 01:13:38 PM,01/19/2017 07:46:50 AM,40.71400364095638,-73.82998933154158
Transportation-Other,,Queens,01/19/2017 04:08:25 AM,01/19/2017 09:10:28 AM,40.74419565512141,-73.77154423626095
Structural-Street Collapse,Cheever Place & Kane Street,Brooklyn,01/19/2017 10:18:23 AM,01/19/2017 12:13:20 PM,40.68693333600572,-73.99895820595566
Utility-Water Main,Watson Avenue  & Colgate Avenue,Bronx,12/17/2016 11:32:26 PM,,40.825653541278996,-73.88134827090516
Fire-2nd Alarm,152 23 Street,Brooklyn,12/18/2016 03:42:20 AM,,40.66208512363062,-73.99773597963093
Law Enforcement-Device,335 York Ave,Staten Island,01/19/2017 01:36:22 PM,01/19/2017 02:58:54 PM,40.63823701762533,-74.08815826259291
Utility-Water Main,St.Nicholas Avenue c/s West 162 Street,Manhattan,01/19/2017 09:30:45 PM,01/21/2017 11:14:29 AM,40.78997515208777,-74.01747454754952
Fire-4th Alarm,3026 Veterans Road West,Staten Island,01/21/2017 10:36:37 AM,01/21/2017 01:44:05 PM,40.528058070025,-74.23614939897476
Fire-2nd Alarm,149-50 Ash Avenue,Queens,01/21/2017 12:43:44 PM,01/21/2017 04:47:36 PM,40.71400364095638,-73.82998933154158
Structural-Street Collapse,205 East 33 Street,Manhattan,02/14/2017 09:13:41 AM,,40.71442154062271,-74.00607638041981
Utility-Power Outage,,Brooklyn,02/10/2017 02:36:18 AM,,,
Transportation-Other,Van Wyck Expressway North and South Bound,Queens,02/10/2017 05:18:05 AM,,,
